CNPJ_NORMALIZADO,razao_social,Municipio,Porte,CNAE PRIMARIO,TEM_SESI,TEM_SENAI,STATUS_COMERCIAL,OPORTUNIDADE_CROSS_SELL
24251530000170,TAVARES E BARROS LTDA,Palmeira dos Índios,MICRO EMPRESA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,1,0,SOMENTE SESI,SESI → SENAI
9158215000100,ANA MARIA DA R. SILVA PANIFICACAO LTDA,Paripueira,MICRO EMPRESA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,1,0,SOMENTE SESI,SESI → SENAI
58613414000176,BATISTA SERVICOS DE TELECOMUNICACAO LTDA,Paripueira,MICRO EMPRESA,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
41012181000153,NORDESTE FABRICACAO DE ARTEFATOS CERAMICOS LTDA.,Passo de Camaragibe,PEQUENO PORTE,"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",1,0,SOMENTE SESI,SESI → SENAI
9622027000190,AGLAY M C VIANA PANIFICACAO,Penedo,MICRO EMPRESA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,1,0,SOMENTE SESI,SESI → SENAI
3246173000182,BISCOITO CASEIRO D' LICIA LTDA,Penedo,PEQUENO PORTE,Fabricacao de biscoitos e bolachas,1,0,SOMENTE SESI,SESI → SENAI
12382008000149,PENEDO AGRO INDUSTRIAL S/A - EM RECUPERACAO JUDICIAL,Penedo,DEMAIS,Fabricacao de acucar em bruto,1,0,SOMENTE SESI,SESI → SENAI
7510298000129,"UNIPESCA-PRODUCAO, INDUSTRIA & COMERCIO DE PESCADOS LTDA",Piaçabuçu,PEQUENO PORTE,"Fabricacao de conservas de peixes, crustaceos e moluscos",1,0,SOMENTE SESI,SESI → SENAI
16982376000189,ALAGOAS AMBIENTAL S/A,Pilar,DEMAIS,Tratamento e disposicao de residuos nao perigosos,1,0,SOMENTE SESI,SESI → SENAI
21315683000146,LAGES ALBUQUERQUE AGROPECUARIA LTDA.,Pilar,PEQUENO PORTE,Fabricacao de laticinios,1,0,SOMENTE SESI,SESI → SENAI
10485700000843,M H SERVICOS LTDA,Pilar,MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para empresas,1,0,SOMENTE SESI,SESI → SENAI
10485700001068,M H SERVICOS LTDA,Pilar,MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para empresas,1,0,SOMENTE SESI,SESI → SENAI
32021201000919,ORIGEM ENERGIA S.A,Pilar,DEMAIS,Producao de gas; processamento de gas natural,1,0,SOMENTE SESI,SESI → SENAI
15126451001623,PERBRAS EMPRESA BRASILEIRA DE PERFURACOES LTDA,Pilar,DEMAIS,Atividades de apoio a extracao de petroleo e gas natural,1,0,SOMENTE SESI,SESI → SENAI
5158542000291,CENTRAL ACUCAREIRA USINA SANTA MARIA S/A - EM RECUPERACAO JUDICIAL,Porto Calvo,DEMAIS,Fabricacao de acucar em bruto,1,0,SOMENTE SESI,SESI → SENAI
28333798000102,CERAMICA LIDER LTDA,Porto Calvo,MICRO EMPRESA,"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",1,0,SOMENTE SESI,SESI → SENAI
59184633000140,NOVA CERAMICA LTDA,Porto Calvo,MICRO EMPRESA,"Fabricacao de artefatos de ceramica e barro cozido para uso na construcao, exceto azulejos e pisos",1,0,SOMENTE SESI,SESI → SENAI
36359686000310,"LE MIX BRASIL PREPARACAO DE MASSA, ARGAMASSA E CONCRETO LTDA",Porto de Pedras,DEMAIS,Preparacao de massa de concreto e argamassa para construcao,1,0,SOMENTE SESI,SESI → SENAI
17633171000150,GERALDO PASSOS LIMA NETO COMERCIO DE GENEROS ALIMENTICIOS LTDA,Quebrangulo,MICRO EMPRESA,Fabricacao de conservas de frutas,1,0,SOMENTE SESI,SESI → SENAI
24937152000345,LAIKOS SOLUCOES EM TELECOMUNICACOES LTDA,Quebrangulo,MICRO EMPRESA,Servicos de comunicacao multimidia - scm,1,0,SOMENTE SESI,SESI → SENAI
