Porte,CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
DEMAIS,Fabricacao de produtos quimicos organicos nao especificados anteriormente,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de refrescos, xaropes e pos para refrescos, exceto refrescos de frutas",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de refrigerantes,4,1,0,0,1,3,25.0,0.0,25.0,3,4,3
DEMAIS,Fabricacao de resinas termoplasticas,2,0,1,0,1,1,0.0,50.0,50.0,2,1,1
DEMAIS,Fabricacao de saboes e detergentes sinteticos,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de sorvetes e outros gelados comestiveis,3,3,1,1,3,0,100.0,33.3333,100.0,0,2,0
DEMAIS,"Fabricacao de sucos de frutas, hortalicas e legumes, exceto concentrados",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,"Fabricacao de tanques, reservatorios metalicos e caldeiras para aquecimento central",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Fabricacao de tecidos de malha,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Fabricacao de tintas, vernizes, esmaltes e lacas",5,2,1,1,2,3,40.0,20.0,40.0,3,4,3
DEMAIS,Fabricacao de tubos e acessorios de material plastico para uso na construcao,5,2,2,2,2,3,40.0,40.0,40.0,3,3,3
DEMAIS,Fabricacao de vidro plano e de seguranca,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fabricacao de vinagres,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,Formulacao de combustiveis,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fornecimento de alimentos preparados preponderantemente para empresas,35,4,3,1,6,29,11.4286,8.5714,17.1429,31,32,29
DEMAIS,Frigorifico - abate de bovinos,5,1,0,0,1,4,20.0,0.0,20.0,4,5,4
DEMAIS,Fundicao de ferro e aco,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Fundicao de metais nao ferrosos e suas ligas,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
DEMAIS,Geracao de energia eletrica,75,1,1,1,1,74,1.3333,1.3333,1.3333,74,74,74
DEMAIS,Gestao de redes de esgoto,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
DEMAIS,Impressao de jornais,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,"Impressao de livros, revistas e outras publicacoes periodicas",3,0,1,0,1,2,0.0,33.3333,33.3333,3,2,2
DEMAIS,Impressao de material de seguranca,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
DEMAIS,Impressao de material para uso publicitario,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
DEMAIS,Incorporacao de empreendimentos imobiliarios,660,20,24,7,37,623,3.0303,3.6364,5.6061,640,636,623
DEMAIS,Instalacao de maquinas e equipamentos industriais,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Instalacao de portas, janelas, tetos, divisorias e armarios embutidos de qualquer material",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Instalacao e manutencao de sistemas centrais de ar condicionado, de ventilacao e refrigeracao",3,0,1,0,1,2,0.0,33.3333,33.3333,3,2,2
DEMAIS,Instalacao e manutencao eletrica,26,2,6,1,7,19,7.6923,23.0769,26.9231,24,20,19
DEMAIS,"Instalacao, manutencao e reparacao de elevadores, escadas e esteiras rolantes",4,1,0,0,1,3,25.0,0.0,25.0,3,4,3
DEMAIS,"Instalacoes hidraulicas, sanitarias e de gas",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Manutencao de estacoes e redes de telecomunicacoes,3,1,1,1,1,2,33.3333,33.3333,33.3333,2,2,2
DEMAIS,Manutencao e reparacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Manutencao e reparacao de embarcacoes para esporte e lazer,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Manutencao e reparacao de equipamentos e produtos nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,"Manutencao e reparacao de equipamentos hidraulicos e pneumaticos, exceto valvulas",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,"Manutencao e reparacao de geradores, transformadores e motores eletricos",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Manutencao e reparacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,"Manutencao e reparacao de maquinas, aparelhos e materiais eletricos nao especificados anteriormente",2,0,1,0,1,1,0.0,50.0,50.0,2,1,1
DEMAIS,Manutencao e reparacao de outras maquinas e equipamentos para usos industriais nao especificados anteriormente,7,1,1,1,1,6,14.2857,14.2857,14.2857,6,6,6
DEMAIS,"Manutencao e reparacao de tanques, reservatorios metalicos e caldeiras, exceto para veiculos",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Moagem de trigo e fabricacao de derivados,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Moagem e fabricacao de produtos de origem vegetal nao especificados anteriormente,12,2,0,0,2,10,16.6667,0.0,16.6667,10,12,10
DEMAIS,Montagem de estruturas metalicas,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
DEMAIS,Montagem e desmontagem de andaimes e outras estruturas temporarias,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Obras de alvenaria,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
DEMAIS,Obras de fundacoes,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
DEMAIS,Obras de montagem industrial,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
DEMAIS,Obras de terraplenagem,11,1,2,1,2,9,9.0909,18.1818,18.1818,10,9,9
DEMAIS,"Obras de urbanizacao - ruas, pracas e calcadas",25,3,2,0,5,20,12.0,8.0,20.0,22,23,20
DEMAIS,"Obras portuarias, maritimas e fluviais",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Outras atividades de telecomunicacoes nao especificadas anteriormente,8,0,1,0,1,7,0.0,12.5,12.5,8,7,7
DEMAIS,Outras obras de acabamento da construcao,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
DEMAIS,Outras obras de engenharia civil nao especificadas anteriormente,29,1,1,1,1,28,3.4483,3.4483,3.4483,28,28,28
DEMAIS,Outras obras de instalacoes em construcoes nao especificadas anteriormente,3,0,1,0,1,2,0.0,33.3333,33.3333,3,2,2
