CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Fabricacao de farinha de mandioca e derivados,22,1,0,0,1,21,4.5455,0.0,4.5455,21,22,21
Telefonia movel celular,21,0,0,0,0,21,0.0,0.0,0.0,21,21,21
"Fabricacao de velas, inclusive decorativas",21,0,0,0,0,21,0.0,0.0,0.0,21,21,21
Obras de montagem industrial,21,0,0,0,0,21,0.0,0.0,0.0,21,21,21
Construcao de estacoes e redes de distribuicao de energia eletrica,20,0,0,0,0,20,0.0,0.0,0.0,20,20,20
Moagem e fabricacao de produtos de origem vegetal nao especificados anteriormente,20,3,0,0,3,17,15.0,0.0,15.0,17,20,17
Extracao e britamento de pedras e outros materiais para construcao e beneficiamento associado,20,2,3,1,4,16,10.0,15.0,20.0,18,17,16
Preparacao do leite,20,2,1,1,2,18,10.0,5.0,10.0,18,19,18
Fabricacao de artefatos de material plastico para uso pessoal e domestico,20,8,3,3,8,12,40.0,15.0,40.0,12,17,12
Manutencao e reparacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao,19,0,1,0,1,18,0.0,5.2632,5.2632,19,18,18
Manutencao e reparacao de maquinas motrizes nao eletricas,19,1,0,0,1,18,5.2632,0.0,5.2632,18,19,18
Fabricacao de artefatos de joalheria e ourivesaria,19,0,0,0,0,19,0.0,0.0,0.0,19,19,19
Servicos de operacao e fornecimento de equipamentos para transporte e elevacao de cargas e pessoas para uso em obras,18,1,0,0,1,17,5.5556,0.0,5.5556,17,18,17
Fabricacao de moveis com predominancia de metal,18,2,0,0,2,16,11.1111,0.0,11.1111,16,18,16
"Fabricacao de artefatos diversos de cortica, bambu, palha, vime e outros materiais trancados, exceto moveis",18,0,0,0,0,18,0.0,0.0,0.0,18,18,18
Fabricacao de estruturas metalicas,17,3,1,0,4,13,17.6471,5.8824,23.5294,14,16,13
"Fabricacao de acessorios do vestuario, exceto para seguranca e protecao",17,2,0,0,2,15,11.7647,0.0,11.7647,15,17,15
"Fabricacao de canetas, lapis e outros artigos para escritorio",17,0,0,0,0,17,0.0,0.0,0.0,17,17,17
Fabricacao de aguardente de cana de acucar,17,2,2,2,2,15,11.7647,11.7647,11.7647,15,15,15
Fabricacao de amidos e feculas de vegetais,17,0,0,0,0,17,0.0,0.0,0.0,17,17,17
Atividades de apoio a extracao de petroleo e gas natural,17,1,1,0,2,15,5.8824,5.8824,11.7647,16,16,15
"Fabricacao de sucos concentrados de frutas, hortalicas e legumes",16,1,0,0,1,15,6.25,0.0,6.25,15,16,15
Fabricacao de embalagens de papel,16,1,1,1,1,15,6.25,6.25,6.25,15,15,15
Manutencao e reparacao de tratores agricolas,16,0,0,0,0,16,0.0,0.0,0.0,16,16,16
Beneficiamento de arroz,16,1,0,0,1,15,6.25,0.0,6.25,15,16,15
"Fabricacao de cabines, carrocerias e reboques para caminhoes",15,1,2,1,2,13,6.6667,13.3333,13.3333,14,13,13
"Montagem e instalacao de sistemas e equipamentos de iluminacao e sinalizacao em vias publicas, portos e aeroportos",15,0,0,0,0,15,0.0,0.0,0.0,15,15,15
Servicos de tratamento e revestimento em metais,15,1,2,0,3,12,6.6667,13.3333,20.0,14,13,12
"Fabricacao de tintas, vernizes, esmaltes e lacas",15,3,2,2,3,12,20.0,13.3333,20.0,12,13,12
Fabricacao de outros produtos quimicos nao especificados anteriormente,14,1,1,0,2,12,7.1429,7.1429,14.2857,13,13,12
Frigorifico - abate de bovinos,14,2,0,0,2,12,14.2857,0.0,14.2857,12,14,12
"Impressao de livros, revistas e outras publicacoes periodicas",14,1,1,0,2,12,7.1429,7.1429,14.2857,13,13,12
Fabricacao de colchoes,13,2,2,1,3,10,15.3846,15.3846,23.0769,11,11,10
Impermeabilizacao em obras de engenharia civil,13,0,0,0,0,13,0.0,0.0,0.0,13,13,13
"Confeccao, sob medida, de roupas profissionais",13,5,0,0,5,8,38.4615,0.0,38.4615,8,13,8
Servico de corte e dobra de metais,13,0,0,0,0,13,0.0,0.0,0.0,13,13,13
Fabricacao de artigos de vidro,13,0,0,0,0,13,0.0,0.0,0.0,13,13,13
"Decoracao, lapidacao, gravacao, vitrificacao e outros trabalhos em ceramica, louca, vidro e cristal",13,0,0,0,0,13,0.0,0.0,0.0,13,13,13
Fabricacao de alcool,13,1,0,0,1,12,7.6923,0.0,7.6923,12,13,12
Fabricacao de artigos de metal para uso domestico e pessoal,13,1,0,0,1,12,7.6923,0.0,7.6923,12,13,12
Fabricacao de calcados de materiais nao especificados anteriormente,12,0,0,0,0,12,0.0,0.0,0.0,12,12,12
Fabricacao de artefatos de material plastico para usos industriais,12,1,0,0,1,11,8.3333,0.0,8.3333,11,12,11
