cnpj_basico,opcao_simples,data_opcao_simples,data_exclusao_simples,opcao_mei,data_opcao_mei,data_exclusao_mei
43476889,S,20210910,00000000,S,20210910,00000000
43477081,S,20210910,00000000,S,20210910,00000000
43477755,S,20210910,00000000,S,20210910,00000000
43478936,S,20210910,00000000,N,20210910,20221231
43480639,S,20210911,00000000,S,20210911,00000000
43480943,S,20210911,00000000,S,20210911,00000000
43481689,S,20210911,00000000,N,20210911,20251231
43484014,N,20210912,20251231,N,20210912,20211231
43486614,S,20210913,00000000,S,20210913,00000000
43487254,N,20210913,20251231,N,00000000,00000000
43488937,S,20210913,00000000,S,20210913,00000000
43489887,S,20210913,00000000,S,20210913,00000000
43491850,S,20210913,00000000,S,20210913,00000000
43491917,S,20210913,00000000,S,20210913,00000000
43495534,S,20210913,00000000,S,20210913,00000000
43496633,S,20230101,00000000,N,00000000,00000000
43497184,S,20210913,20261231,N,20210913,20231231
43497472,S,20210913,00000000,S,20210913,00000000
43499496,S,20210913,00000000,S,20210913,00000000
43503791,S,20210914,00000000,N,20210914,20260531
43505082,S,20210914,00000000,S,20210914,00000000
43505377,N,20210914,20251231,N,20210914,20251231
43505962,N,20210914,20251231,N,20210914,20251231
43506805,S,20210914,00000000,S,20210914,00000000
43507226,N,20210914,20251231,N,20210914,20251231
43507448,S,20210914,00000000,S,20210914,00000000
43507689,N,20210914,20251231,N,00000000,00000000
43507947,S,20250101,00000000,S,20250101,00000000
43510442,S,20210914,00000000,S,20210914,00000000
43511957,S,20210914,00000000,S,20210914,00000000
43518037,S,20210914,00000000,S,20210914,00000000
43519058,N,20210914,20241231,N,20210914,20211231
43519385,S,20210914,00000000,S,20210914,00000000
43521162,S,20210915,00000000,S,20210915,00000000
43522458,S,20210915,00000000,S,20210915,00000000
43526738,S,20210915,00000000,S,20210915,00000000
43530709,S,20210915,00000000,N,20210915,20241231
43531225,S,20210915,00000000,S,20210915,00000000
43531309,S,20210915,00000000,S,20210915,00000000
43532122,N,20210915,20241231,N,20210915,20241231
43533337,S,20210915,00000000,S,20210915,00000000
43538275,N,20210916,20241231,N,20210916,20241231
43554905,S,20210917,00000000,S,20210917,00000000
43560910,S,20210917,00000000,S,20210917,00000000
43562352,S,20210917,00000000,N,20210917,20221231
43568949,S,20210918,00000000,S,20210918,00000000
43571786,N,20210919,20241231,N,20210919,20241231
43572562,S,20210919,00000000,S,20210919,00000000
43577791,S,20210920,00000000,N,00000000,00000000
43577852,S,20210920,00000000,S,20210920,00000000
43584450,S,20210920,00000000,S,20210920,00000000
43585597,S,20210920,00000000,S,20210920,00000000
43586776,S,20210920,00000000,S,20210920,00000000
43586799,S,20260101,00000000,S,20260101,00000000
43587308,S,20260101,00000000,N,20210920,20251231
43588738,S,20210921,20261231,N,20210921,20241231
43588975,S,20210921,00000000,S,20210921,00000000
43589152,S,20210921,00000000,S,20210921,00000000
43589648,S,20210921,00000000,S,20210921,00000000
43590323,S,20210921,00000000,S,20210921,00000000
43590825,S,20210921,00000000,S,20210921,00000000
43593499,S,20210921,00000000,S,20210921,00000000
43594947,S,20210921,00000000,S,20210921,00000000
43595969,S,20210921,00000000,N,00000000,00000000
43596822,S,20210921,00000000,S,20210921,00000000
43598276,S,20260101,00000000,N,20210921,20241031
