CNPJ,RazaoSocial_relacionamento,COBERTURA,Porte_relacionamento,CNAE_relacionamento,razao_social_receita,situacao_cadastral,data_situacao_cadastral,municipio_receita,uf_receita,cnae_fiscal_codigo,cnae_fiscal_descricao,erro,classificacao
9473889000107,Trusty Servicos E Comercio Ltda,SESI,4.Micro,Perfurações e sondagens,TRUSTY SERVICOS E COMERCIO LTDA,ATIVA,2008-02-20,COTIA,SP,4312600.0,Perfurações e sondagens,,ATIVA_OUTRA_UF
10412434000152,Emsercol - Empresa Sergipana De Contrucao E Limpeza Ltda,SESI,2.Média,Construção de edifícios,EMSERCOL - EMPRESA SERGIPANA DE CONTRUCAO E LIMPEZA LTDA,ATIVA,2008-10-13,FREI PAULO,SE,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
10655727000160,Messtechnik Industria E Comercio Ltda,SESI,2.Média,"Fabricação de aparelhos e equipamentos de medida, teste e controle",MESSTECHNIK INDUSTRIA E COMERCIO LTDA,ATIVA,2009-02-11,CHAPECO,SC,2651500.0,"Fabricação de aparelhos e equipamentos de medida, teste e controle",,ATIVA_OUTRA_UF
10729398000155,W M - Manutencao Industrial Ltda,SESI,4.Micro,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,W M - MANUTENCAO INDUSTRIAL LTDA,ATIVA,2009-03-27,ITAU DE MINAS,MG,3314799.0,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,,ATIVA_OUTRA_UF
10793958000130,Industria E Comercio De Gelo Ltda,SESI,3.Pequena,Fabricação de gelo comum,INDUSTRIA E COMERCIO DE GELO LTDA,ATIVA,2005-11-03,MACEIO,AL,311601.0,Pesca de peixes em água salgada,,ATIVA_AL
10795557000110,Aloisio De Oliveira Silva,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,ALOISIO DE OLIVEIRA SILVA,INAPTA,2026-05-26,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,NAO_ATIVA
11512944000164,Faab Engenharia Ltda,SESI,2.Média,Construção de estações e redes de distribuição de energia elétrica,FAAB ENGENHARIA LTDA,ATIVA,2005-11-03,RECIFE,PE,4221902.0,Construção de estações e redes de distribuição de energia elétrica,,ATIVA_OUTRA_UF
11838337000199,R. P. M. Da Silva Ferreira,SESI,4.Micro,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",R. P. M. DA SILVA FERREIRA,BAIXADA,2025-04-25,ARAPIRACA,AL,4520007.0,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",,NAO_ATIVA
11917733000101,R2t Telecomunicacoes Ltda,SESI,3.Pequena,Construção de estações e redes de telecomunicações,R2T TELECOMUNICACOES LTDA,ATIVA,2010-05-07,SALVADOR,BA,4221904.0,Construção de estações e redes de telecomunicações,,ATIVA_OUTRA_UF
12150025000150,Ferro E Costa Ltda,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,FERRO E COSTA LTDA,BAIXADA,2026-02-25,ANADIA,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,NAO_ATIVA
12312799000211,Panificacao Jaragua Ltda,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,PANIFICACAO JARAGUA LTDA,ATIVA,2026-05-08,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL
13256673000159,Smartway Comercio E Servicos Ltda,SESI,4.Micro,Impressão de material para outros usos,SMARTWAY COMERCIO E SERVICOS LTDA,ATIVA,2011-02-15,PORTO ALEGRE,RS,1813099.0,Impressão de material para outros usos,,ATIVA_OUTRA_UF
13743821000160,J J Balbino Da Silva  Ltda,SESI,4.Micro,Instalação e manutenção elétrica,J J BALBINO DA SILVA LTDA,BAIXADA,2026-04-07,ARAPIRACA,AL,4321500.0,Instalação e manutenção elétrica,,NAO_ATIVA
14613816000103,J L F F Construcoes E Servicos Ltda,SESI,4.Micro,Construção de instalações esportivas e recreativas,J L F F CONSTRUCOES E SERVICOS LTDA,BAIXADA,2026-04-30,MACEIO,AL,4299501.0,Construção de instalações esportivas e recreativas,,NAO_ATIVA
14798740000120,Acessoline Telecomunicacoes Ltda,SESI,2.Média,Serviços de comunicação multimídia - SCM,ACESSOLINE TELECOMUNICACOES LTDA,ATIVA,2011-12-23,CACADOR,SC,6110803.0,Serviços de comunicação multimídia - SCM,,ATIVA_OUTRA_UF
16599987000142,Applus Qualitec Servicos De Engenharia Ltda,SESI,4.Micro,Serviços de engenharia,APPLUS QUALITEC SERVICOS DE ENGENHARIA LTDA,ATIVA,2005-11-03,IBIRITE,MG,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
18078551000133,Tecflan Servicos Industriais Ltda,SESI,4.Micro,Manutenção e reparação de equipamentos e produtos não especificados anteriormente,TECFLAN SERVICOS INDUSTRIAIS LTDA,ATIVA,2022-07-04,CAMACARI,BA,3319800.0,Manutenção e reparação de equipamentos e produtos não especificados anteriormente,,ATIVA_OUTRA_UF
18985898000160,Prime Solucoes Industriais Ltda,SESI,2.Média,Instalação de máquinas e equipamentos industriais,PRIME SOLUCOES INDUSTRIAIS LTDA,ATIVA,2013-10-01,CHAPECO,SC,3321000.0,Instalação de máquinas e equipamentos industriais,,ATIVA_OUTRA_UF
19284040000130,Klin Engenharia E Gestao Ambiental Ltda,SESI,3.Pequena,Descontaminação e outros serviços de gestão de resíduos,KLIN ENGENHARIA E GESTAO AMBIENTAL LTDA,ATIVA,2013-11-20,SALVADOR,BA,3900500.0,Descontaminação e outros serviços de gestão de resíduos,,ATIVA_OUTRA_UF
19427410000141,Sora Alimentos Ltda,SESI,4.Micro,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,SORA ALIMENTOS LTDA,ATIVA,2013-12-18,SALVADOR,BA,1069400.0,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,,ATIVA_OUTRA_UF
20293552000142,Ellca 2 Servicos & Locacoes Ltda,SESI,2.Média,Instalação e manutenção elétrica,ELLCA 2 SERVICOS & LOCACOES LTDA,ATIVA,2014-05-21,RIO DE JANEIRO,RJ,4321500.0,Instalação e manutenção elétrica,,ATIVA_OUTRA_UF
20645520000169,Fm2c Servicos De Manutencao Ltda,SESI,3.Pequena,Instalação e manutenção elétrica,FM2C SERVICOS DE MANUTENCAO LTDA,ATIVA,2014-07-16,CAMPINAS,SP,4321500.0,Instalação e manutenção elétrica,,ATIVA_OUTRA_UF
20792878000114,Eletroblu Sistemas Eletricos Ltda,SESI,2.Média,Instalação e manutenção elétrica,ELETROBLU SISTEMAS ELETRICOS LTDA,ATIVA,2014-08-06,INDAIAL,SC,4321500.0,Instalação e manutenção elétrica,,ATIVA_OUTRA_UF
23499339000180,Beeva Industria Comercio E Exportacao De Mel E Derivados S/a,SESI,3.Pequena,Fabricação de outros produtos alimentícios não especificados anteriormente,BEEVA INDUSTRIA COMERCIO E EXPORTACAO DE MEL E DERIVADOS S/A,ATIVA,2015-10-20,MARECHAL DEODORO,AL,4637199.0,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,,ATIVA_AL
23524040000138,Braspowertech Solucoes Tecnologicas Ltda,SESI,4.Micro,"Fabricação de aparelhos e equipamentos de medida, teste e controle",BRASPOWERTECH SOLUCOES TECNOLOGICAS LTDA,ATIVA,2015-10-12,SAO CARLOS,SP,2651500.0,"Fabricação de aparelhos e equipamentos de medida, teste e controle",,ATIVA_OUTRA_UF
23720921000124,Stx Energia Ltda,SESI,3.Pequena,Serviços de engenharia,STX ENERGIA LTDA,ATIVA,2015-11-18,RIO DE JANEIRO,RJ,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
23953373000182,Bahia Industria De Subprodutos Animais Ltda,SESI,3.Pequena,Preparação de subprodutos do abate,BAHIA INDUSTRIA DE SUBPRODUTOS ANIMAIS LTDA,ATIVA,2016-01-12,TEODORO SAMPAIO,BA,1013902.0,Preparação de subprodutos do abate,,ATIVA_OUTRA_UF
26389015000187,Data Engenharia Ltda,SESI,4.Micro,"Manutenção e reparação de geradores, transformadores e motores elétricos",DATA ENGENHARIA LTDA,ATIVA,2005-11-03,SARZEDO,MG,3313901.0,"Manutenção e reparação de geradores, transformadores e motores elétricos",,ATIVA_OUTRA_UF
26736810000102,Geoagro Perfuracoes E Sondagens S.a,SESI,4.Micro,Perfurações e sondagens,GEOAGRO PERFURACOES E SONDAGENS S.A,ATIVA,2016-12-19,VILA VELHA,ES,4312600.0,Perfurações e sondagens,,ATIVA_OUTRA_UF
27358066000104,Alirio Alisson Benjamim Alves Ricarte Ceramica Ltda,SESI,3.Pequena,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",LCARDIM CERAMICA LTDA,INAPTA,2026-05-26,PORTO DE PEDRAS,AL,2342702.0,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",,NAO_ATIVA
29112325000148,Weston & Cia Cervejaria Artesanal Ltda,SESI,4.Micro,Fabricação de cervejas e chopes,WESTON & CIA CERVEJARIA ARTESANAL LTDA,SUSPENSA,2026-06-05,MACEIO,AL,1113502.0,Fabricação de cervejas e chopes,,NAO_ATIVA
