Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Migração,59691114000178,Britto Macelog Spe. Ltda.,Não Indústria,3.Pequena,Administração da infra-estrutura portuária,SESI,59691114000178
Migração,59705135000103,Jeanks Toff Ltda,Não Indústria,4.Micro,"Comércio varejista de doces, balas, bombons e semelhantes",SESI,59705135000103
Migração,60145420000198,Leao E Silva Ltda,Não Indústria,4.Micro,Restaurantes e similares,SESI,60145420000198
Migração,60483869000166,Mestre Cuca Restaurantes Ltda,Não Indústria,3.Pequena,Restaurantes e similares,SESI,60483869000166
Migração,60574442000173,Ecosolar Servicos Administrativos Ltda,Não Indústria,4.Micro,Serviços combinados de escritório e apoio administrativo,SESI,60574442000173
Proposta,60784666000100,Stc Luna Ltda,Não Indústria,4.Micro,Produção teatral,SESI,60784666000100
Proposta,61057621000104,Jln Agropecuaria Ltda,Não Indústria,3.Pequena,Criação de bovinos para corte,SESI,61057621000104
Migração,61226455000114,J C Silva Goes De Araujo  Ltda,Não Indústria,4.Micro,Restaurantes e similares,SESI,61226455000114
Migração,61471733000107,Grano Restaurante Ltda.,Não Indústria,3.Pequena,Restaurantes e similares,SESI,61471733000107
Migração,62361466000170,Ar De Mello Colchoes Ltda.,Não Indústria,4.Micro,Comércio varejista de móveis,SESI,62361466000170
Migração,62578771000118,Sangu La Sangucheria Peruana Ltda,Não Indústria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SESI,62578771000118
Proposta,62582285000173,Hotel Sol Poente Ltda,Não Indústria,3.Pequena,Hotéis,SESI,62582285000173
Migração,62590092000164,62.590.092 Wellington Araujo Da Silva,Não Indústria,4.Micro,Promoção de vendas,SESI,62590092000164
Migração,63541698000172,Arthur Autopecas E Servicos Ltda,Não Indústria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,SESI,63541698000172
Migração,64078146000132,Viacao Lider Transportes E Fretamentos Ltda,Não Indústria,4.Micro,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",SESI,64078146000132
Migração,64502210000160,Compre Bem Mais Comercio E Distribuicao De Alimentos Ltda,Não Indústria,3.Pequena,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",SESI,64502210000160
Proposta,64904295001932,Camil Alimentos S.a.,Não Indústria,2.Média,Comércio atacadista de produtos alimentícios em geral,SESI,64904295001932
Migração,64904295005920,Camil Alimentos S.a.,Indústria,2.Média,Fabricação de biscoitos e bolachas,SESI,64904295005920
Proposta,65080391000147,M J Panificacao Ltda,Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,SESI,65080391000147
Migração,65333199000115,Cristo Rei Empreendimentos Ltda,Não Indústria,4.Micro,Aluguel de imóveis próprios,SESI,65333199000115
Migração,65357066000189,Audion Comercio De Produtos Medicos Ltda,Não Indústria,4.Micro,Comércio varejista de artigos médicos e ortopédicos,SESI,65357066000189
Proposta,65456832000162,Erm Brasil Ltda,Indústria,2.Média,Serviços de engenharia,SESI,65456832000162
Migração,65530482000137,M E R C Florencio  Ltda,Não Indústria,4.Micro,Instituições de longa permanência para idosos,SESI,65530482000137
Proposta,65672950000108,Riacho Doce Restaurante Ltda,Não Indústria,4.Micro,Restaurantes e similares,SESI,65672950000108
